,Title,Brands,Ratings,Number of Rating,Price,Return Policy,Delivery,Availability,Others,Product URL
0,Buddha's House of Mirrors,Shuklaji (Author),-,-,₹ 149.00,10 Days Replacement Only,"Delivery by: Sunday, Feb 28 Details",In stock.,-,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06765166Q0YI5QWJP9A&url=%2FBuddhas-House-Mirrors-Shuklaji%2Fdp%2F8194761883%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dbook%26qid%3D1614219001%26sr%3D8-1-spons%26psc%3D1&qualifier=1614219783&id=2823323081645601&widgetName=sp_atf
1,As a Man Thinketh,James Allen (Author),4.5 out of 5,"1,489 ratings",₹ 59.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 11 hrs and 6 mins Details",In stock.,-,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A009152518LMXW8DM0KDP&url=%2FAs-Man-Thinketh-James-Allen%2Fdp%2F9386538172%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dbook%26qid%3D1614219001%26sr%3D8-2-spons%26psc%3D1&qualifier=1614219783&id=2823323081645601&widgetName=sp_atf
2,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,"Dale Carnegie (Author),",4.5 out of 5,"2,540 ratings",₹ 319.00,Pay on Delivery,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 6 mins Details",In stock.,-,https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=sr_1_3?dchild=1&keywords=book&qid=1614219001&sr=8-3
3,Unfinished: A Memoir,Priyanka Chopra Jonas (Author),4.2 out of 5,341 ratings,₹ 499.00,Pay on Delivery,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 15 hrs and 36 mins Details",In stock.,-,https://www.amazon.in/Unfinished-Memoir-Priyanka-Chopra-Jonas/dp/0670094978/ref=sr_1_4?dchild=1&keywords=book&qid=1614219001&sr=8-4
4,Death; An Inside Story: A book for all those who shall die,Sadhguru (Author),4.7 out of 5,"3,091 ratings",₹ 211.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 11 hrs and 6 mins Details",In stock.,-,https://www.amazon.in/Death-Inside-Story-those-shall/dp/0143450832/ref=sr_1_5?dchild=1&keywords=book&qid=1614219001&sr=8-5
5,Sapiens: A Brief History of Humankind,Yuval Noah Harari (Author),4.6 out of 5,"28,255 ratings",₹ 299.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details",In stock.,-,https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085/ref=sxin_10?asc_contentid=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&ascsubtag=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&creativeASIN=0099590085&cv_ct_cx=book&cv_ct_id=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&dchild=1&keywords=book&linkCode=oas&pd_rd_i=0099590085&pd_rd_r=bf80c0dc-9122-4b3c-8769-4f46ee6d41b4&pd_rd_w=N6Wwm&pd_rd_wg=zjza4&pf_rd_p=599399c8-267b-4dc7-956e-b752110ed447&pf_rd_r=PW1XVZZ1A8TCFSX2QY9T&qid=1614219001&sr=1-1-483c64d8-df78-4008-ae20-e69f683e58b1&tag=reviewsin-21
6,Think Like a Monk: The secret of how to harness the power of positivity and be happy now,Jay Shetty (Author),4.7 out of 5,"8,643 ratings",₹ 270.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 6 mins Details",In stock.,-,https://www.amazon.in/Think-Like-Monk-Jay-Shetty/dp/0008386595/ref=sxin_10?asc_contentid=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&ascsubtag=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&creativeASIN=0008386595&cv_ct_cx=book&cv_ct_id=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&dchild=1&keywords=book&linkCode=oas&pd_rd_i=0008386595&pd_rd_r=bf80c0dc-9122-4b3c-8769-4f46ee6d41b4&pd_rd_w=N6Wwm&pd_rd_wg=zjza4&pf_rd_p=599399c8-267b-4dc7-956e-b752110ed447&pf_rd_r=PW1XVZZ1A8TCFSX2QY9T&qid=1614219001&sr=1-2-483c64d8-df78-4008-ae20-e69f683e58b1&tag=reviewsin-21
7,Ikigai: The Japanese secret to a long and happy life,"Héctor García (Author),",4.6 out of 5,"8,668 ratings",₹ 300.00,Pay on Delivery,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 6 mins Details",In stock.,-,https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=sxin_10?asc_contentid=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&ascsubtag=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&creativeASIN=178633089X&cv_ct_cx=book&cv_ct_id=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&dchild=1&keywords=book&linkCode=oas&pd_rd_i=178633089X&pd_rd_r=bf80c0dc-9122-4b3c-8769-4f46ee6d41b4&pd_rd_w=N6Wwm&pd_rd_wg=zjza4&pf_rd_p=599399c8-267b-4dc7-956e-b752110ed447&pf_rd_r=PW1XVZZ1A8TCFSX2QY9T&qid=1614219001&sr=1-3-483c64d8-df78-4008-ae20-e69f683e58b1&tag=reviewsin-21
8,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,"Dale Carnegie (Author),",4.5 out of 5,"2,540 ratings",₹ 319.00,Pay on Delivery,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 6 mins Details",In stock.,-,https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=sxin_10?asc_contentid=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&ascsubtag=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&creativeASIN=9389432014&cv_ct_cx=book&cv_ct_id=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&dchild=1&keywords=book&linkCode=oas&pd_rd_i=9389432014&pd_rd_r=bf80c0dc-9122-4b3c-8769-4f46ee6d41b4&pd_rd_w=N6Wwm&pd_rd_wg=zjza4&pf_rd_p=599399c8-267b-4dc7-956e-b752110ed447&pf_rd_r=PW1XVZZ1A8TCFSX2QY9T&qid=1614219001&sr=1-4-483c64d8-df78-4008-ae20-e69f683e58b1&tag=reviewsin-21
9,Attitude Is Everything: Change Your Attitude ... Change Your Life!,Keller Jeff (Author),4.5 out of 5,"5,738 ratings",₹ 158.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 6 mins Details",In stock.,-,https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071/ref=sr_1_6?dchild=1&keywords=book&qid=1614219001&sr=8-6
