,Name,Price,Url
0,"Alienware M14x
हिन्दी >
+ COMPARE","Price : 86,200 (onwards)
Available at 1 Store",https://www.digit.in/laptops/alienware-m14x-price-3532.html
1,"HP Envy 15-K006tx
हिन्दी >
+ COMPARE","Price : 80,510",https://www.digit.in/laptops/hp-envy-15-k006tx-price-4429.html
2,"ASUS TUF Gaming FX505DY-BQ024T
हिन्दी >
+ COMPARE","Price : 49,000 (onwards)
Available at 1 Store",https://www.digit.in/laptops/asus-tuf-gaming-fx505dy-bq024t-price-204539.html
3,"ASUS TUF Gaming A15 Ryzen 9 4900H
हिन्दी >
+ COMPARE","Price : 96,990 (onwards)
Available at 1 Store",https://www.digit.in/laptops/asus-tuf-gaming-a15-ryzen-9-4900h-price-216641.html
4,"Acer Predator Triton 700
हिन्दी >
+ COMPARE","Price : 299,999",https://www.digit.in/laptops/acer-predator-triton-700-price-69350.html
5,"Asus G750JX-CV069P
हिन्दी >
+ COMPARE","Price : 149,999 (onwards)
Available at 1 Store",https://www.digit.in/laptops/asus-g750jx-cv069p-price-4426.html
6,"Lenovo Ideapad Gaming 3 Core I5 10th Gen
हिन्दी >
+ COMPARE","Price : 79,990 (onwards)
Available at 1 Store",https://www.digit.in/laptops/lenovo-ideapad-gaming-3-core-i5-10th-gen-price-216361.html
7,"ASUS TUF Gaming FX505DD-AL185T
हिन्दी >
+ COMPARE","Price : 56,490 (onwards)
Available at 1 Store",https://www.digit.in/laptops/asus-tuf-gaming-fx505dd-al185t-price-204511.html
8,"Asus TUF Gaming A15
हिन्दी >
+ COMPARE","Price : 79,990 (onwards)
Available at 1 Store",https://www.digit.in/laptops/asus-tuf-gaming-a15-price-201669.html
9,"Asus TUF Gaming A17
हिन्दी >
+ COMPARE","Price : 84,552",https://www.digit.in/laptops/asus-tus-gaming-a17-price-201683.html
