,Name,Colour,RAM,ROM,Primary Camera,Secondary Camera,Display Size,Display Resolution,Processor,Cores,Battery,Brand,Price,Url
0,E7 Plus,Misty Blue,4 GB,64 GB,48MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Qualcomm Snapdragon 460,Octa Core,5000 mAh,Motorola Mobile,"₹9,499",https://www.flipkart.com/motorola-e7-plus-misty-blue-64-gb/p/itm9a59be77f1cd2?pid=MOBFTYWW8QWUYDZU&lid=LSTMOBFTYWW8QWUYDZUM6DQNI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBFTYWW8QWUYDZU.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
1,G9 Power,Electric Violet,4 GB,64 GB,64MP + 2MP + 2MP,16MP Front Camera,17.22 cm (6.78 inch),1600 x 720 Pixels,Qualcomm Snapdragon 662,Octa Core,6000 mAh,Motorola Mobile,"₹11,999",https://www.flipkart.com/motorola-g9-power-electric-violet-64-gb/p/itma226347832eac?pid=MOBFT8M8BJUYZGGC&lid=LSTMOBFT8M8BJUYZGGCZMCTY3&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBFT8M8BJUYZGGC.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
2,G9,Sapphire Blue,4 GB,64 GB,48MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Qualcomm Snapdragon 662,Octa Core,5000 mAh,Motorola Mobile,"₹10,999",https://www.flipkart.com/motorola-g9-sapphire-blue-64-gb/p/itm483cb18471531?pid=MOBFTYWWS6RYZRZH&lid=LSTMOBFTYWWS6RYZRZHHL0ZN0&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBFTYWWS6RYZRZH.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
3,Moto G 5G,Volcanic Grey,6 GB,128 GB,48MP + 8MP + 2MP,16MP Front Camera,16.94 cm (6.67 inch),2400 x 1080 Pixels,Qualcomm Snapdragon 750G,Octa Core,5000 mAh,Motorola Mobile,"₹19,999",https://www.flipkart.com/moto-g-5g-volcanic-grey-128-gb/p/itm5bafe435ec358?pid=MOBFTZE7GER2URWX&lid=LSTMOBFTZE7GER2URWXCMILGC&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBFTZE7GER2URWX.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
4,Moto G 5G,Frosted Silver,6 GB,128 GB,48MP + 8MP + 2MP,16MP Front Camera,16.94 cm (6.67 inch),2400 x 1080 Pixels,Qualcomm Snapdragon 750G,Octa Core,5000 mAh,Motorola Mobile,"₹19,999",https://www.flipkart.com/moto-g-5g-frosted-silver-128-gb/p/itmd01e39924e78a?pid=MOBFTZE7GSGZFGZN&lid=LSTMOBFTZE7GSGZFGZN9DWXYE&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBFTZE7GSGZFGZN.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
5,G9 Power,Metallic Sage,4 GB,64 GB,64MP + 2MP + 2MP,16MP Front Camera,17.22 cm (6.78 inch),1600 x 720 Pixels,Qualcomm Snapdragon 662,Octa Core,6000 mAh,Motorola Mobile,"₹11,999",https://www.flipkart.com/motorola-g9-power-metallic-sage-64-gb/p/itm442fe68247c48?pid=MOBFT8M8CNRK8K7G&lid=LSTMOBFT8M8CNRK8K7GBCXBIC&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBFT8M8CNRK8K7G.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
6,Razr,Gold,6 GB,128 GB,16MP Rear Camera,5MP Front Camera,15.75 cm (6.2 inch),800 x 600 Pixels,SDM710,Octa Core,2510 mAh,Motorola Mobile,"₹74,999",https://www.flipkart.com/motorola-razr-gold-128-gb/p/itm160c3d63385fb?pid=MOBFRSB9ZJBRDVCD&lid=LSTMOBFRSB9ZJBRDVCD13CZBB&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBFRSB9ZJBRDVCD.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
7,E7 Plus,Twilight Orange,4 GB,64 GB,48MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Qualcomm Snapdragon 460,Octa Core,5000 mAh,Motorola Mobile,"₹9,499",https://www.flipkart.com/motorola-e7-plus-twilight-orange-64-gb/p/itmc69499824be93?pid=MOBFTYWWYHJTGKG2&lid=LSTMOBFTYWWYHJTGKG2UVM5M2&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBFTYWWYHJTGKG2.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
8,Moto One,Black,4 GB,64 GB,13MP + 2MP,8MP Front Camera,14.99 cm (5.9 inch),1520 x 720 pixels,Qualcomm Snapdragon 625,Octa Core,3000 mAh,Motorola Mobile,"₹14,999",https://www.flipkart.com/moto-one-black-64-gb/p/itmffvtjuqejb7bd?pid=MOBFFFTZXDKWXA84&lid=LSTMOBFFFTZXDKWXA84M413A8&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBFFFTZXDKWXA84.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
9,Edge+,Thunder Grey,12 GB,256 GB,108MP + 16MP + 8MP,25MP Front Camera,17.02 cm (6.7 inch),2340 x 1080 Pixels,Qualcomm Snapdragon 865,Octa Core,5000 mAh,Motorola Mobile,"₹64,999",https://www.flipkart.com/motorola-edge-thunder-grey-256-gb/p/itm89c1f91a0a0e3?pid=MOBFQMAAHRRGMHFH&lid=LSTMOBFQMAAHRRGMHFHLPPYPL&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=SEARCH&iid=0b747e43-41f1-43a5-a83c-b6a3d902ba8c.MOBFQMAAHRRGMHFH.SEARCH&ppt=hp&ppn=homepage&ssid=o8jg5e0nk00000001614241898007&qH=188efc8bce8d038b
